Pedurma-ID,Other-ID,Title,Image-group,Range,First-image,Last-image
AT2609,Q4733,na mo rin chen mngon rdzogs zhes bya ba,I1PD95888,924-937,I1PD958880955.jpg,I1PD958880968.jpg
AT2610,Q4734,dra ba chung ngu,I1PD95888,938-949,I1PD958880969.jpg,I1PD958880980.jpg
AT2611,Q4735,de kho na nyid snang ba dam pa brgyan,I1PD95888,950-958,I1PD958880981.jpg,I1PD958880989.jpg
AT2612,Q4736,lam rnam par bkod pa sangs rgyas gsang ba'i man ngag,I1PD95888,959-1043,I1PD958880990.jpg,I1PD958881074.jpg
AT2613,Q4737,sgyu 'phrul man ngag rnam par bkod pa,I1PD95888,1044-1092,I1PD958881075.jpg,I1PD958881123.jpg
AT2614,Q4738,thugs kyi thigs pa zhes bya ba,I1PD95888,1093-1117,I1PD958881124.jpg,I1PD958881148.jpg
AT2615,Q4739,sgyu 'phrul man ngag gsal ba'i sgron me zhes bya ba,I1PD95888,1118-1132,I1PD958881149.jpg,I1PD958881163.jpg
AT2616,Q4740,sgyu 'phrul dra ba'i lam bshad pa,I1PD95888,1133-1147,I1PD958881164.jpg,I1PD958881178.jpg
AT2617,Q4741,rim pa drug pa,I1PD95888,1148-1172,I1PD958881179.jpg,I1PD958881203.jpg
AT2618,Q4742,sgyu 'phrul dra ba'i man ngag rim pa gsum pa,I1PD95888,1173-1178,I1PD958881204.jpg,I1PD958881209.jpg
AT2619,Q4743,sems bskyed pa'i cho ga mdor bshad pa,I1PD95888,1179-1189,I1PD958881210.jpg,I1PD958881220.jpg
AT2620,Q4744,dam tshig gsal bkra zhes bya ba,I1PD95888,1190-1203,I1PD958881221.jpg,I1PD958881234.jpg
AT2621,Q4745,dam tshig phra rgyas bstan pa,I1PD95888,1204-1208,I1PD958881235.jpg,I1PD958881239.jpg
AT2622,Q4746,sgyu 'phrul sbyin sreg gi rim pa mdor bsdus pa,I1PD95888,1209-1221,I1PD958881240.jpg,I1PD958881252.jpg
AT2623,Q4747,sgyu 'phrul dra ba ro sreg las kyi phreng ba,I1PD95888,1222-1226,I1PD958881253.jpg,I1PD958881257.jpg
AT2624,,sgyu 'phrul dpe chung rang gnas kyi rim pa,I1PD95888,1227-1237,I1PD958881258.jpg,I1PD958881268.jpg
AT2625,Q4749,sku gdung las kyi 'phreng ba,I1PD95888,1238-1242,I1PD958881269.jpg,I1PD958881273.jpg
AT2626,Q4750,za tshogs gtor ma'i lung,I1PD95888,1243-1245,I1PD958881274.jpg,I1PD958881276.jpg
AT2627,Q4751,gsang ba'i mdo don bsdus pa,I1PD95888,1246-1254,I1PD958881277.jpg,I1PD958881285.jpg
AT2628,Q4752,skabs 'grel bye brag rnam par bshad pa zhes bya ba,I1PD95888,1255-1275,I1PD958881286.jpg,I1PD958881306.jpg
AT2629,Q4753,byang chub sems kyi ljon shing,I1PD95888,1276-1283,I1PD958881307.jpg,I1PD958881314.jpg
AT2631,Q4755,'bras bu'i mchog gi rgyud kyi don bsdus 'grel pa paN+Dir thar zhes bya ba,I1PD95889,3-58,I1PD958890032.jpg,I1PD958890087.jpg
AT2632,Q4756,rdo rje sems dpa'i sgyu 'phrul dra ba'i rgyud dpal gsang ba'i snying po zhes bya ba'i spyan 'grel pa,I1PD95889,59-347,I1PD958890088.jpg,I1PD958890376.jpg
AT2633,Q4757,sgyu 'phrul dra ba rin po che 'od kyi snang ba,I1PD95889,348-353,I1PD958890377.jpg,I1PD958890382.jpg
AT2634,Q4758,thugs kyi sgo lcags,I1PD95889,354-365,I1PD958890383.jpg,I1PD958890394.jpg
AT2635,Q4759,bsre ba'i tho byang,I1PD95889,366-367,I1PD958890395.jpg,I1PD958890396.jpg
AT2636,Q4760,mtshan nyid sgron ma,I1PD95889,368-373,I1PD958890397.jpg,I1PD958890402.jpg
AT2637,Q4761,sgyu 'phrul khro bo'i dbang bskur ba dkyil 'khor rdo rje las kyi rim pa zhes bya ba,I1PD95889,374-402,I1PD958890403.jpg,I1PD958890431.jpg
AT2638,Q4762,sgyu 'phrul dbang gi gal po'i don 'grel,I1PD95889,403-414,I1PD958890432.jpg,I1PD958890443.jpg
AT2639,Q4763,sgyu 'phrul dra ba lhan cig skyes pa'i ye shes snang ba,I1PD95889,415-421,I1PD958890444.jpg,I1PD958890450.jpg
AT2640,Q4764,gsang ba'i man ngag 'jam pa'i thigs pa zhes bya ba,I1PD95889,422-434,I1PD958890451.jpg,I1PD958890463.jpg
